Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Draftkings Inc,DKNG,Buy,Filled,100,100,@33.10,33.10,DAY,10/24/2025 12:17:43 EDT,10/24/2025 12:17:43 EDT
American Airline,AAL,Short,Filled,50,50,@13.71,13.71,DAY,10/24/2025 12:16:33 EDT,10/24/2025 12:16:34 EDT
Rocket Companies Inc,RKT,Buy,Filled,10,10,@18.33,18.33,DAY,10/24/2025 09:30:41 EDT,10/24/2025 09:30:42 EDT
Draftkings Inc,DKNG,Buy,Filled,15,15,@34.71,34.71,DAY,10/23/2025 09:42:57 EDT,10/23/2025 09:43:57 EDT
Cmb.Tech,CMBT,Buy,Filled,50,50,@9.67,9.67,DAY,10/23/2025 09:32:59 EDT,10/23/2025 09:32:59 EDT
Taylor Morrison Home Corp,TMHC,Buy,Filled,10,10,@59.80,59.80,DAY,10/23/2025 09:31:55 EDT,10/23/2025 10:07:03 EDT
Leonardo DRS  Inc.,DRS,Buy,Filled,20,20,@39.59,39.59,DAY,10/22/2025 14:17:51 EDT,10/22/2025 14:17:51 EDT
ASP Isotopes,ASPI,Sell,Filled,70,70,@8.54,8.54,DAY,10/22/2025 14:17:24 EDT,10/22/2025 14:19:04 EDT
Draftkings Inc,DKNG,Buy,Filled,15,15,@35.04,35.04,DAY,10/22/2025 14:16:33 EDT,10/22/2025 14:16:33 EDT
Rocket Companies Inc,RKT,Buy,Filled,20,20,@17.11,17.11,DAY,10/22/2025 12:31:25 EDT,10/22/2025 12:31:25 EDT
Draftkings Inc,DKNG,Buy,Filled,20,20,@34.44,34.44,DAY,10/22/2025 12:27:47 EDT,10/22/2025 12:28:00 EDT
Corteva Inc,CTVA,Buy,Filled,10,10,@62.80,62.80,DAY,10/22/2025 12:27:08 EDT,10/22/2025 12:27:08 EDT
Alkermes Plc,ALKS,Short,Filled,50,50,@31.87,31.87,DAY,10/22/2025 12:25:30 EDT,10/22/2025 12:25:34 EDT
American Superconductor Corp,AMSC,Sell,Filled,15,15,@54.90,54.90,DAY,10/22/2025 10:42:53 EDT,10/22/2025 11:10:02 EDT
ASP Isotopes,ASPI,Buy,Filled,30,30,@9.42,9.42,DAY,10/22/2025 09:53:53 EDT,10/22/2025 09:53:53 EDT
Taylor Morrison Home Corp,TMHC,Sell,Filled,35,35,@60.90,60.90,DAY,10/22/2025 09:51:36 EDT,10/22/2025 09:51:36 EDT
Serve Robotics,SERV,Sell,Filled,80,80,@13.44,13.44,DAY,10/22/2025 09:51:21 EDT,10/22/2025 09:51:44 EDT
Leonardo DRS  Inc.,DRS,Buy,Filled,10,10,@40.51,40.51,DAY,10/21/2025 14:25:45 EDT,10/21/2025 14:39:20 EDT
Taylor Morrison Home Corp,TMHC,Buy,Filled,10,10,@63.09,63.09,DAY,10/21/2025 11:45:47 EDT,10/21/2025 11:45:47 EDT
Serve Robotics,SERV,Buy,Filled,40,40,@14.46,14.46,DAY,10/21/2025 10:07:47 EDT,10/21/2025 10:08:23 EDT
iShares US Aerospace & Defense ETF,ITA,Sell,Filled,10,10,@213.92,213.92,DAY,10/21/2025 10:04:33 EDT,10/21/2025 10:08:04 EDT
ASP Isotopes,ASPI,Buy,Filled,40,40,@9.71,9.71,DAY,10/21/2025 09:42:25 EDT,10/21/2025 10:07:25 EDT
Option Care Health Inc,OPCH,Buy,Filled,15,15,@28.22,28.22,DAY,10/21/2025 09:40:37 EDT,10/21/2025 09:41:01 EDT
iShares US Aerospace & Defense ETF,ITA,Sell,Filled,20,20,@214.39,214.39,DAY,10/21/2025 09:39:19 EDT,10/21/2025 09:39:19 EDT
Twist Bioscience,TWST,Buy,Filled,70,70,@32.74,32.74,DAY,10/20/2025 16:03:24 EDT,10/20/2025 16:03:24 EDT
